Profit and Loss,
Online Tax Solutions Group LLC,
"March 1-31, 2025",

Distribution account,Total
Income,
Referral Income,14.40
Refunds and Credits,339.52
Sales,"4,889.00"
Sales of Product Income,263.84
Services,"157,585.01"
Unapplied Cash Payment Income,414.00
Total for Income,"$163,505.77"
Cost of Goods Sold,
1-Cost of Sales,
COS Contractors,
Acquisition Contractors,"1,439.00"
Affiliate Commissions,"6,272.56"
Commissions,"10,485.00"
Wise contractors,"4,440.00"
Total for COS Contractors,"$22,636.56"
Merchant Processing Fees,"3,032.46"
PayPal Fees,2.83
QuickBooks Payments Fees,"2,582.81"
Total for Merchant Processing Fees,"$5,618.10"
Service Fulfillment Fees,"3,242.18"
Total for 1-Cost of Sales,"$31,496.84"
Total for Cost of Goods Sold,"$31,496.84"
Gross Profit,"$132,008.93"
Expenses,
2-CAC,
Advertising & Marketing,"3,995.73"
Meals & Entertainment,56.70
Software,"4,509.94"
Total for 2-CAC,"$8,562.37"
3-OpEx,
3.1-People,
OpEx Contractors,
Domestic OpEx Contractors,"5,360.00"
EYT,"7,040.00"
PH OpEx Contractors,"1,694.06"
Total for OpEx Contractors,"$14,094.06"
Payroll Expenses,
Taxes,360.75
Wages,"6,756.92"
Total for Payroll Expenses,"$7,117.67"
Payroll,
Taxes & Licenses,"1,083.00"
Total for Payroll,"$1,083.00"
Total for 3.1-People,"$22,294.73"
3.2-Systems,
Bank Charges & Fees,1.48
Dues and Subscriptions,755.20
Insurance,657.00
Interest Paid,89.49
Legal & Professional Services,49.00
Office Rent,"1,002.44"
Office Supplies & Software,"3,077.18"
Utilities,706.38
Total for 3.2-Systems,"$6,338.17"
Total for 3-OpEx,"$28,632.90"
Payroll Expenses,
Taxes,333.60
Total for Payroll Expenses,$333.60
Total for Expenses,"$37,528.87"
Net Operating Income,"$94,480.06"
Other Income,
Interest Income,0.49
Total for Other Income,$0.49
Other Expenses,
Net Other Income,$0.49
Net Income,"$94,480.55"



"Cash Basis Sunday, October 26, 2025 03:28 PM GMTZ",
